,County,Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total,Population,Police Spending Per Capita,Mental Health Spending Per Capita,Drug and Alcohol Abuse Services Spending Per Capita
0,Alameda,2003,67620724,162111429.0,28910904.0,1467892.0,46.06655258016257,110.43825363173858,19.69552528387647
1,Alpine,2003,1610553,148701.0,500356.0,1248.0,1290.5072115384614,119.1514423076923,400.92628205128204
2,Amador,2003,5715469,1885165.0,849770.0,36656.0,155.92178633784374,51.42855194238324,23.182289393278044
3,Butte,2003,11450959,28935820.0,4019764.0,209389.0,54.68749074688737,138.19169106304534,19.19758917612673
4,Calaveras,2003,5672737,2007571.0,875481.0,42651.0,133.0036107008042,47.069728728517504,20.526623056903706
5,Colusa,2003,3159671,2499952.0,1782027.0,19538.0,161.7192650220084,127.95332173200941,91.20826082505886
6,Contra Costa,2003,78549758,88054807.0,19305613.0,984256.0,79.80622724169322,89.46331747025164,19.614422467325575
7,Del Norte,2003,3004638,3055510.0,654251.0,27744.0,108.29865916955018,110.13228085351788,23.581711361014996
8,El Dorado,2003,19796653,8408390.0,3046411.0,166195.0,119.11701916423479,50.59351966063961,18.33034086464695
9,Glenn,2003,4251992,3594298.0,1447071.0,26974.0,157.6329799065767,133.25046340920886,53.64688218284274
10,Humboldt,2003,10179118,18696775.0,2590703.0,129468.0,78.62265579139246,144.41232582568665,20.010373219637284
11,Imperial,2003,12738280,11720110.0,2119301.0,149041.0,85.4682939593803,78.63681805677632,14.219583872894036
12,Inyo,2003,3932627,3060994.0,702535.0,18461.0,213.02350901901306,165.80867775310114,38.055089106765614
13,Kern,2003,56700193,59119640.0,10021022.0,707111.0,80.18570351755241,83.607297864126,14.171780668098785
14,Kings,2003,7884414,8203505.0,1778267.0,136710.0,57.672547728768926,60.006619852241975,13.007585399751298
15,Lake,2003,7647010,6242206.0,2134868.0,61492.0,124.35780264099395,101.51248942951929,34.71781695179861
16,Lassen,2003,2019785,2870974.0,1361576.0,33828.0,59.70749083599385,84.86975286744709,40.24997043868984
17,Los Angeles,2003,1007572763,945781445.0,149581202.0,9756914.0,103.26756626121742,96.93448615002653,15.330790247818111
18,Madera,2003,8224549,8599753.0,1654343.0,130641.0,62.955343268958444,65.82736660007195,12.663275694460392
19,Marin,2003,18801342,23931544.0,6167598.0,247342.0,76.01354399980593,96.75487381843763,24.935506303013643
20,Mariposa,2003,3282766,1455045.0,592834.0,17612.0,186.3937088348853,82.61668180785828,33.660799454917104
21,Mendocino,2003,7930285,12310381.0,2589596.0,87764.0,90.35920195068593,140.2668634064081,29.506357959983593
22,Modoc,2003,1801129,1273738.0,733498.0,9456.0,190.47472504230117,134.70156514382404,77.56958544839256
23,Monterey,2003,29670460,26684680.0,4819777.0,410276.0,72.31829305150679,65.04080180171397,11.747645487427976
24,Napa,2003,13449003,13194410.0,3747799.0,128683.0,104.5126629003054,102.53421197827218,29.124274379677193
25,Nevada,2003,10772748,4576571.0,2136289.0,95277.0,113.06766585849681,48.034373458442225,22.42187516399551
26,Orange,2003,227689394,155470232.0,38814007.0,2944565.0,77.32530747326005,52.79904909553703,13.181575886421253
27,Riverside,2003,199290902,82587112.0,16006438.0,1730219.0,115.18247227663088,47.732172632481785,9.251105206913113
28,Sacramento,2003,179853799,27998807.0,19185351.0,1307189.0,137.58821333410853,21.41909624392494,14.676799605871837
29,San Benito,2003,3552413,2349221.0,849236.0,55330.0,64.20410265678656,42.458358937285375,15.348563166455811
30,San Diego,2003,184520110,234883823.0,51820773.0,2927216.0,63.036041754349526,80.24137029860455,17.70309160649573
31,San Joaquin,2003,37461159,60203002.0,14573686.0,612295.0,61.181553009578714,98.32352379163639,23.801739357662566
32,San Luis Obispo,2003,19518428,20774740.0,4632359.0,254583.0,76.66823000750246,81.60301355550057,18.19586932356049
33,San Mateo,2003,49817476,71567633.0,17216299.0,704014.0,70.76205302735457,101.65654802319273,24.454483859695973
34,Santa Barbara,2003,39760736,39741898.0,10350096.0,407828.0,97.49388467687358,97.44769363555224,25.37858116657022
35,Santa Cruz,2003,19831732,31552556.0,6450219.0,255368.0,77.65942483004919,123.55720372168791,25.25852495222581
36,Shasta,2003,14342669,18339737.0,3419042.0,170782.0,83.98232249300277,107.38682648054244,20.019920132098232
37,Siskiyou,2003,8465358,6339258.0,1313579.0,44491.0,190.27124586995123,142.48405295453014,29.524600480996156
38,Solano,2003,44119150,38057657.0,4536708.0,407882.0,108.16645500414336,93.30555650899035,11.122599183097073
39,Sonoma,2003,44380422,37558274.0,11168082.0,467139.0,95.00474591074605,80.40063878203276,23.907406574916674
40,Stanislaus,2003,32526451,53649815.0,6344730.0,478283.0,68.00670523518502,112.17169541882107,13.265639799031117
41,Tehama,2003,5512369,6896817.0,1488624.0,57847.0,95.29221912977337,119.2251456428164,25.733815063875394
42,Trinity,2003,2417792,2007615.0,847895.0,13273.0,182.1586679725759,151.25555639267685,63.8811873728622
43,Tulare,2003,23358578,33911642.0,8776200.0,385769.0,60.55068706920463,87.90660213754863,22.74988399793659
44,Ventura,2003,89912232,44349665.0,15070495.0,784632.0,114.59159453093935,56.52288588790669,19.20708688914039
45,Alameda,2004,72540104,167862041.0,27567999.0,1466407.0,49.4679198885439,114.47165827768144,18.799691354446615
46,Alpine,2004,1411586,137872.0,601698.0,1257.0,1122.9801113762928,109.68337311058075,478.67780429594274
47,Amador,2004,6210532,1714272.0,873767.0,36961.0,168.0293282108168,46.380563296447605,23.640242417683503
48,Butte,2004,12669016,30120195.0,3340605.0,211419.0,59.923734385272844,142.46683126871284,15.80087409362451
49,Calaveras,2004,5902700,1856610.0,928659.0,43554.0,135.5260136841622,42.627772420443584,21.32201405152225
50,Colusa,2004,2952782,1610137.0,1144972.0,19933.0,148.13535343400392,80.77745447248282,57.441027441930466
51,Contra Costa,2004,75819659,94886080.0,18531640.0,993958.0,76.28054605929023,95.46286664024034,18.64428879288662
52,Del Norte,2004,2717209,2759741.0,566917.0,28029.0,96.9427735559599,98.46020193371152,20.22608726675943
53,El Dorado,2004,20797287,8571123.0,2693801.0,168984.0,123.07252165885528,50.7215061780997,15.941160109832884
54,Glenn,2004,4278423,4611684.0,1430071.0,27210.0,157.23715545755238,169.4848952590959,52.55681734656376
55,Humboldt,2004,10783742,20334679.0,2843612.0,130712.0,82.500015300814,155.5685705979558,21.754789154783033
56,Imperial,2004,10775006,11906532.0,2022720.0,152420.0,70.69286182915629,78.11659887153917,13.270699383283034
57,Inyo,2004,5692408,3004368.0,687035.0,18533.0,307.14984082447523,162.10910268170292,37.07090055576539
58,Kern,2004,56527173,60205277.0,10463769.0,728872.0,77.55432092328968,82.60061711795761,14.356113281893117
59,Kings,2004,8880312,8834629.0,1629702.0,140688.0,63.12060730126237,62.79589588308882,11.583802456499487
60,Lake,2004,7533979,6331111.0,2554171.0,62307.0,120.917055868522,101.61155247403984,40.99332338260549
61,Lassen,2004,2996516,2669519.0,1510122.0,34313.0,87.32888409640661,77.79905575146446,44.010200215661705
62,Los Angeles,2004,1033691751,950311560.0,157804368.0,9806944.0,105.40406379398108,96.90190542538022,16.09108484763449
63,Madera,2004,8905287,7195897.0,1530546.0,134645.0,66.13900998923094,53.44347729213859,11.367269486427272
64,Marin,2004,19848617,23908061.0,6092468.0,246990.0,80.36202680270456,96.79768816551277,24.66686100651848
65,Mariposa,2004,3213560,1958722.0,111405.0,17818.0,180.35469749691325,109.92939723874733,6.252385228420698
66,Mendocino,2004,8318158,12507371.0,2282764.0,88130.0,94.38509020764779,141.91956201066606,25.902235334165436
67,Modoc,2004,1593334,1291254.0,886638.0,9556.0,166.73650062787777,135.12494767685223,92.78338216827125
68,Monterey,2004,28555545,28403855.0,5052604.0,411544.0,69.38637180957565,69.01778424664191,12.277190288280233
69,Napa,2004,13588790,12259115.0,3643087.0,129814.0,104.67892523148505,94.43600073951961,28.063899117198453
70,Nevada,2004,9150543,6251427.0,2028469.0,96540.0,94.78499067743941,64.75478558110628,21.011694634348455
71,Orange,2004,257792065,153061668.0,37529543.0,2965398.0,86.93337791419566,51.61589371814509,12.655819893316176
72,Riverside,2004,207788419,82308936.0,21768164.0,1814485.0,114.51647106479248,45.362147386172936,11.996882862079323
73,Sacramento,2004,192046018,30521736.0,21318815.0,1331910.0,144.18843465399314,22.91576457868775,16.00619786622219
74,San Benito,2004,3320398,2080205.0,884253.0,55374.0,59.96312348755734,37.566457182071005,15.968739841803012
75,San Diego,2004,199262432,203853434.0,46296090.0,2953703.0,67.46190527619059,69.01622607283129,15.673915082186666
76,San Joaquin,2004,37740221,59718240.0,15178402.0,629787.0,59.92537318172652,94.822916319327,24.100849969910463
77,San Luis Obispo,2004,20011682,21285703.0,4454579.0,257045.0,77.85283510669338,82.80924740804139,17.329957789492113
78,San Mateo,2004,55492650,75104212.0,15392107.0,702254.0,79.02076741463915,106.94736092638846,21.91814784963845
79,Santa Barbara,2004,45005652,44186944.0,9583155.0,410357.0,109.67438596149206,107.67927438791101,23.35321439624522
80,Santa Cruz,2004,20978924,35885667.0,7178600.0,254986.0,82.27480724431929,140.73583255551284,28.152918199430555
81,Shasta,2004,14639482,18679767.0,3555961.0,172729.0,84.7540482489912,108.14493802430397,20.586936762211327
82,Siskiyou,2004,9015158,8158473.0,891697.0,44691.0,201.72200219283525,182.5529301201584,19.9524960282831
83,Solano,2004,45707536,38123109.0,5223977.0,410164.0,111.43722023385767,92.94601427721594,12.736312791956388
84,Sonoma,2004,44907506,35770336.0,13464266.0,469103.0,95.7305879518997,76.25262682182804,28.702152832107235
85,Stanislaus,2004,33338656,51755703.0,5451786.0,486639.0,68.50798230310353,106.35338104837467,11.202936879288343
86,Tehama,2004,5616758,5627031.0,1565177.0,58953.0,95.27518531711702,95.44944277644903,26.549573388970874
87,Trinity,2004,2507141,2317221.0,950650.0,13453.0,186.36296736787332,172.24567011075595,70.66453579127332
88,Tulare,2004,30588556,33952286.0,7983610.0,395127.0,77.41449204939171,85.92752709888214,20.205174538819165
89,Ventura,2004,102473813,42792104.0,14466118.0,792213.0,129.35133985430687,54.01590733805176,18.26038956694727
90,Alameda,2005,76907655,181211420.0,25692084.0,1462736.0,52.5779463963422,123.88525338817121,17.564402598965227
91,Alpine,2005,1546810,178317.0,317451.0,1237.0,1250.452708164915,144.15278900565886,256.6297493936944
92,Amador,2005,7094286,1885961.0,1009361.0,37434.0,189.51450552973233,50.38096382967356,26.96374953251055
93,Butte,2005,12574972,28259152.0,3792756.0,212955.0,59.049902561574044,132.7001103519523,17.81012890047193
94,Calaveras,2005,6683908,2101680.0,996785.0,44348.0,150.71498150987642,47.39063768377379,22.476436366916207
95,Colusa,2005,3607734,1437522.0,985561.0,20374.0,177.07539020320016,70.55668989889074,48.37346618238932
96,Contra Costa,2005,80603616,94955684.0,15881269.0,1001216.0,80.50572104321145,94.84035812452058,15.861980831309127
97,Del Norte,2005,2741249,3598068.0,641414.0,28251.0,97.03192807334254,127.3607305936073,22.704116668436516
98,El Dorado,2005,23279478,8929797.0,2460570.0,171739.0,135.5514938365776,51.9963258199943,14.327380501807976
99,Glenn,2005,4133211,5196580.0,1233242.0,27394.0,150.8801562385924,189.69774403153974,45.01869022413667
100,Humboldt,2005,9852412,21085985.0,2258952.0,131467.0,74.94209193181558,160.3899457658576,17.182654202195227
101,Imperial,2005,12316559,17231635.0,2309263.0,155793.0,79.05720411058263,110.60596432445617,14.82263644708042
102,Inyo,2005,4101268,2325397.0,688403.0,18511.0,221.5584247204365,125.62244071092864,37.18886067743504
103,Kern,2005,60561903,68244000.0,12515498.0,750969.0,80.64501064624505,90.87459002968166,16.665798455062724
104,Kings,2005,9598313,8444195.0,1814466.0,143607.0,66.83736168849708,58.800720020611806,12.634941193674402
105,Lake,2005,8322863,7191732.0,2703273.0,62870.0,132.38210593287738,114.39052012088436,42.9978209002704
106,Lassen,2005,3443077,3227974.0,1529384.0,34552.0,99.64913753183608,93.42365130817319,44.263255383190554
107,Los Angeles,2005,1089177409,954330553.0,149800462.0,9816153.0,110.95766427031037,97.22042362216645,15.26060789802278
108,Madera,2005,8572126,7079888.0,1626114.0,138174.0,62.03863244894119,51.23893062370634,11.768596117938252
109,Marin,2005,18675408,25985598.0,6287297.0,246688.0,75.70456609158127,105.33790861330912,25.48683762485407
110,Mariposa,2005,3718021,1295678.0,568025.0,17965.0,206.95914277762316,72.12234901196771,31.618424714723073
111,Mendocino,2005,8975028,12489606.0,2258336.0,88129.0,101.83966685200105,141.7195928695435,25.625344665206686
112,Modoc,2005,1468041,1730945.0,767257.0,9595.0,153.00062532569046,180.40072954663887,79.96425221469515
113,Monterey,2005,31253586,33942878.0,5228341.0,409557.0,76.31071132955853,82.87705496426626,12.765844558877031
114,Napa,2005,15474950,12641145.0,4095289.0,130472.0,118.60744067692686,96.88779968115765,31.38825954994175
115,Nevada,2005,10714311,6256039.0,1609658.0,97454.0,109.94223941551911,64.19478933650748,16.517105506187534
116,Orange,2005,264848785,147622124.0,38288543.0,2973845.0,89.0593776743576,49.640154076624704,12.8750970544867
117,Riverside,2005,236474284,80622716.0,24679145.0,1895695.0,124.74279037503396,42.52937102223723,13.018520911855546
118,Sacramento,2005,192189733,30652574.0,21297788.0,1350523.0,142.30763415358345,22.696817455163668,15.770029832886964
119,San Benito,2005,4081126,2620434.0,658254.0,55221.0,73.90532587240361,47.45357744336394,11.92035638615744
120,San Diego,2005,209139098,216164846.0,52692212.0,2966783.0,70.49356087047822,72.86169767050708,17.760723315456506
121,San Joaquin,2005,40811791,47516861.0,13981342.0,645059.0,63.26830724011292,73.66281378912626,21.674516594606075
122,San Luis Obispo,2005,22537650,22670261.0,4217347.0,259213.0,86.94644944505099,87.45804029890476,16.269812856608272
123,San Mateo,2005,59882313,79192945.0,13549641.0,700350.0,85.50340972370958,113.07624045120296,19.34695652173913
124,Santa Barbara,2005,48625885,47135781.0,9865437.0,411440.0,118.18463202411044,114.56295207077581,23.977826657592846
125,Santa Cruz,2005,20755329,37908603.0,6428473.0,254783.0,81.46277027902175,148.78780373886798,25.23116926953525
126,Shasta,2005,16979868,19226663.0,3777024.0,173862.0,97.66290506263589,110.58576917325234,21.724264071504987
127,Siskiyou,2005,8927350,9198238.0,852808.0,44865.0,198.9825030647498,205.020349938705,19.00831383038003
128,Solano,2005,47758693,38524705.0,5183775.0,410985.0,116.205440587856,93.73749650230543,12.613051571225228
129,Sonoma,2005,49278344,39436489.0,15476813.0,469734.0,104.90691327432121,83.95493832679772,32.94803654834438
130,Stanislaus,2005,36490435,50952365.0,5384446.0,494144.0,73.84575144087553,103.11238222056728,10.896511947934206
131,Tehama,2005,5903546,5685419.0,1451259.0,59976.0,98.43180605575563,94.79490129385087,24.197328931572628
132,Trinity,2005,2273188,2044515.0,892907.0,13654.0,166.48513256188662,149.7374395781456,65.39526878570382
133,Tulare,2005,30816113,36216327.0,8534292.0,404148.0,76.24957441333373,89.61154577036135,21.11674930965884
134,Ventura,2005,104381340,42613642.0,14923024.0,795962.0,131.13859706870429,53.537281930544424,18.748412612662413
135,Alameda,2006,81348525,188246300.0,22671064.0,1462371.0,55.62782973677678,128.72677316494924,15.502949661884706
136,Alpine,2006,1824346,225219.0,392358.0,1232.0,1480.8003246753246,182.80762987012986,318.4724025974026
137,Amador,2006,7216485,2326993.0,1138366.0,37843.0,190.69537298839944,61.49071162434268,30.081283196363923
138,Butte,2006,13132496,32159189.0,3723555.0,214690.0,61.16957473566538,149.79360473240487,17.343867902557175
139,Calaveras,2006,7510083,2436065.0,1112014.0,45044.0,166.72771068288785,54.08189770002664,24.687283544978243
140,Colusa,2006,3958466,1686608.0,768790.0,20729.0,190.96270924791355,81.3646582083072,37.08765497612041
141,Contra Costa,2006,85671379,98072121.0,16005443.0,1007169.0,85.06157258613004,97.37404646092165,15.891516716658277
142,Del Norte,2006,3007230,3649129.0,714028.0,28296.0,106.2775657336726,128.9627155781736,25.234238054848742
143,El Dorado,2006,26915121,10711577.0,2670054.0,174218.0,154.49104570136265,61.48375598388226,15.325936470399155
144,Glenn,2006,4540145,5673499.0,1336457.0,27628.0,164.3312943390763,205.35322860865787,48.373280729694514
145,Humboldt,2006,10458033,24959538.0,2508299.0,131958.0,79.25273950802529,189.14759241576866,19.008313251185985
146,Imperial,2006,15577722,14704715.0,2165164.0,160088.0,97.30724351606617,91.85394907800709,13.524836340012993
147,Inyo,2006,4346932,2450007.0,705794.0,18442.0,235.7082745906084,132.84931135451686,38.271011820843725
148,Kern,2006,68049778,72924946.0,12653368.0,774062.0,87.91256772713297,94.21072988985378,16.346711245352438
149,Kings,2006,11522384,8840646.0,1965999.0,146045.0,78.89612105857783,60.53371221198945,13.461597452839879
150,Lake,2006,9382078,8225610.0,3046563.0,63449.0,147.86801998455454,129.6412867027061,48.01593405727434
151,Lassen,2006,3166718,3560738.0,1501054.0,34769.0,91.07877707152923,102.41128591561449,43.17219362075412
152,Los Angeles,2006,1183067562,1036582033.0,177132081.0,9798609.0,120.73831724482525,105.78869235419027,18.077268008142788
153,Madera,2006,9414271,8245767.0,1641507.0,141693.0,66.4413273767935,58.19459676907116,11.5849547966378
154,Marin,2006,20801838,27124322.0,6594682.0,246969.0,84.22853880446534,109.82885301394101,26.70246873089335
155,Mariposa,2006,4068260,1469748.0,875849.0,18150.0,224.1465564738292,80.97785123966942,48.25614325068871
156,Mendocino,2006,9499019,13767983.0,2387477.0,87802.0,108.18681806792556,156.80716840163095,27.19160155805107
157,Modoc,2006,1695419,1924889.0,933902.0,9614.0,176.34897025171625,200.21728728936966,97.13979613064281
158,Monterey,2006,34320044,38161844.0,5373322.0,406935.0,84.33790163048153,93.77872141742539,13.204374162949858
159,Napa,2006,17541037,13807496.0,4472289.0,131330.0,133.56458539556843,105.13588669763192,34.05382623924465
160,Nevada,2006,11438550,7209068.0,1679531.0,98068.0,116.63896479993474,73.51091079659012,17.126187951217524
161,Orange,2006,276371743,150787001.0,40451886.0,2973057.0,92.9587771105633,50.7178305024088,13.606158913199444
162,Riverside,2006,258658868,102128820.0,23666664.0,1975913.0,130.90600041601022,51.6869011945364,11.97758403330511
163,Sacramento,2006,218112598,33544361.0,24378062.0,1365214.0,159.7644017714439,24.57077132229819,17.85658658642528
164,San Benito,2006,4671871,2643387.0,564610.0,55025.0,84.90451612903226,48.039745570195365,10.260972285324852
165,San Diego,2006,201202350,216116031.0,49064866.0,2976492.0,67.5971411984309,72.60763039174975,16.48412493633445
166,San Joaquin,2006,45355699,60681081.0,10686269.0,656247.0,69.11376204386458,92.46683184837417,16.28391291693524
167,San Luis Obispo,2006,25253764,24520362.0,4981828.0,260873.0,96.80482073652696,93.99348341913498,19.09675589271408
168,San Mateo,2006,65967250,82433518.0,15723796.0,699347.0,94.3269221144868,117.8721264265093,22.483539644840114
169,Santa Barbara,2006,50712177,54104303.0,9734232.0,412271.0,123.00689837509793,131.23480186576305,23.611246000810148
170,Santa Cruz,2006,22548953,42996437.0,6445159.0,255107.0,88.39017745495028,168.5427565688123,25.264532137495248
171,Shasta,2006,16927298,20552539.0,3795196.0,174747.0,96.86745981333013,117.61311496048573,21.7182326449095
172,Siskiyou,2006,9076228,10782605.0,855604.0,44918.0,202.06215770960418,240.05087047508795,19.04813215192128
173,Solano,2006,55512992,41446602.0,5194914.0,410964.0,135.0799388754246,100.85214763336934,12.640800654071889
174,Sonoma,2006,55378392,43440644.0,15861305.0,469751.0,117.88882195035242,92.47589467611564,33.76534589601725
175,Stanislaus,2006,38118246,53525366.0,5451626.0,500780.0,76.11774831263229,106.8839929709653,10.88626941970526
176,Tehama,2006,6469783,6401698.0,1703919.0,61000.0,106.06201639344262,104.94586885245901,27.933098360655737
177,Trinity,2006,2315061,2306775.0,955962.0,13806.0,167.6851368970013,167.08496305953932,69.2425032594524
178,Tulare,2006,32355909,39414738.0,8870897.0,412239.0,78.48822891575033,95.61137592513082,21.518820393024434
179,Ventura,2006,115381828,46407847.0,14197814.0,799049.0,144.3989392390204,58.07884998291719,17.768389673224046
